seed	score	exe_time
224	884200	4.7111618
225	686843	4.7097654
226	688000	4.7056159
227	602009	4.709501
228	876137	4.7068008
229	786496	4.7090728
230	818960	4.7083561
231	862092	4.716064
232	615641	4.7108464
233	650587	4.7050564
234	630767	4.7125332
235	732151	4.7078267
236	639863	4.7051008
237	764584	4.7225618
238	801468	4.7097319
239	892834	4.7165009
240	685426	4.7071617
241	750273	4.7120014
242	800716	4.7141181
243	711474	4.7072786
244	756285	4.7097619
245	748237	4.7148904
246	775647	4.7052673
247	736620	4.710195
248	950085	4.7089048
249	943045	4.7088626
250	618397	4.7166564
251	794455	4.7106214
252	839504	4.7114912
253	729865	4.7194689
254	777054	4.7106707
255	752812	4.7087319
256	745001	4.7186814
257	888598	4.7137796000000005
258	676782	4.7212308
259	840629	4.7130764
260	825707	4.7112177
261	653913	4.7104525
262	871647	4.7148553
263	666388	4.7106245
264	859027	4.7099414
265	896129	4.7070574
266	721564	4.7229444
267	634483	4.7080693
268	659368	4.710195
269	849866	4.7073495
270	926252	4.7256021
271	580743	4.7113194
272	612373	4.7050998
273	747627	4.7066619
274	694804	4.7059144
275	675597	4.7069116
276	690972	4.7055296
277	750929	4.7087206
278	661783	4.7081482
279	767178	4.7128127
280	719201	4.7062115
281	877231	4.7137281
282	632044	4.704896
283	690901	4.7050045
284	777496	4.7069633
285	803203	4.7099339
286	899919	4.712876
287	681665	4.7125331
288	730693	4.7123933000000005
289	786206	4.7097542
290	680893	4.7234592
291	654484	4.7109141
292	667607	4.7093206
293	897779	4.7118921
294	866344	4.7205593
295	777512	4.7129801
296	712948	4.7208942
297	783008	4.7088345
298	631758	4.7246038
299	622680	4.7132219
300	797055	4.7062219
301	740003	4.711295
302	831362	4.710661
303	822959	4.7122475
304	744305	4.7111181
305	858978	4.7190057
306	952863	4.7143786
307	898292	4.726044
308	677672	4.7059843
309	825384	4.7124479
310	862580	4.7218885
311	762032	4.7078772
312	779444	4.7104485
313	800303	4.7072524
314	773330	4.720844
315	715383	4.716089
316	778790	4.7193014
317	583473	4.7100228
318	691966	4.7059046
319	704485	4.7066834
320	705064	4.7196939
321	725480	4.708225
322	753761	4.7109915
323	793496	4.708293
324	687065	4.706023
325	662787	4.704586
326	827153	4.7078642
327	790083	4.7095247
328	844637	4.7100934
329	737234	4.7069344
330	747745	4.7066969
331	886078	4.7095457
332	631835	4.7062257
333	705585	4.7139749
334	878582	4.7079395
335	876732	4.7132223
336	650746	4.7066855
337	769453	4.7132079000000004
338	679355	4.7051104
339	670383	4.7083779
340	746909	4.7099773
341	719621	4.7094892
342	666114	4.706165
343	881064	4.7089296
344	859468	4.7204112
345	689052	4.7064512
346	631436	4.705777
347	750528	4.706514
348	800731	4.7139376
349	973912	4.710483
350	619140	4.7042778
351	695580	4.7180586
352	658835	4.7182691
353	795332	4.71237
354	662621	4.7074994
355	752506	4.7068598
356	694751	4.7121495
357	710811	4.7055936
358	696484	4.7064316999999996
359	620912	4.7066447
360	592019	4.7058521
361	759284	4.711622
362	630606	4.7069965
363	682256	4.706825
364	785611	4.7097119
365	649810	4.708072
366	639166	4.7049999
367	802762	4.706708
368	853893	4.7081573
369	754014	4.7165529
370	870383	4.7114899
371	777404	4.7129747
372	822118	4.7080558
373	745051	4.7099912
374	624169	4.7100276
375	617968	4.7110594
376	552676	4.7175711
377	773963	4.7185767
378	705988	4.7071381
379	723758	4.706654
380	622617	4.7051907
381	787361	4.7117830000000005
382	852694	4.7194898
383	829269	4.7177436
384	710521	4.7123714
385	769030	4.7081145
386	796209	4.7071713
387	913581	4.7142927
388	727842	4.7093319000000005
389	718580	4.7078393
390	723445	4.7101194
391	731334	4.7132587
392	798765	4.7163213
393	683792	4.7078739
394	816271	4.7124254
395	653061	4.7079967
396	781073	4.7111372
397	698836	4.7049262
398	783031	4.7115269
399	793105	4.7085492
400	761279	4.7069123
401	671191	4.7104302
402	795577	4.7080513
403	695652	4.7106783
404	795767	4.7096507
405	728197	4.7071065
406	719129	4.7099814
407	695779	4.7130685
408	581423	4.7081173
409	812555	4.7176773
410	710453	4.7180938
411	822169	4.7092445000000005
412	861342	4.7228735
413	524492	4.7072724
414	726023	4.7085776
415	802227	4.7243358
416	733802	4.7131536
417	744132	4.7222641
418	599898	4.7165116000000005
419	628536	4.71975
420	592271	4.7089071
421	778134	4.7130542
422	804135	4.7078726
423	647985	4.7111949
424	661186	4.7064181000000005
425	723070	4.7090036
426	766341	4.719137
427	681403	4.7188277
428	722409	4.7086506
429	688059	4.720309
430	736073	4.7106854
431	793994	4.7122603000000005
432	763828	4.7072314
433	824969	4.7135805
434	861443	4.7220115
435	741655	4.715582
436	636131	4.7073014
437	900563	4.7122431
438	593176	4.7101253
439	820095	4.7250178
440	702917	4.7103652
441	807840	4.7138111
442	788214	4.708766
443	893184	4.7105326000000005
